"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","counted","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
91,2007,7.3,0.8,-11.1,32.2,"yes",5,2,3,"tech.4","tech.2","tech.1",270,280,280
92,2007,15.3,8.9,-11.1,32.2,"yes",2,3,5,"tech.2","tech.4","tech.4",255,85,35
93,2007,9.4,3.4,-11.1,32.2,"yes",5,5,2,"tech.1","tech.1","tech.3",95,240,310
94,2007,3.5,2.4,-11.1,32.2,"yes",2,2,4,"tech.4","tech.3","tech.2",345,105,310
95,2007,19.5,6.9,-11.1,32.2,"yes",3,4,3,"tech.1","tech.1","tech.4",250,200,225
97,2007,13,12.9,-11.1,32.2,"yes",3,4,1,"tech.2","tech.2","tech.4",255,125,330
98,2007,13.7,5.8,-11.1,32.2,"yes",4,3,4,"tech.4","tech.4","tech.1",80,165,35
100,2007,20.9,9.4,-11.1,32.2,"yes",6,1,7,"tech.2","tech.3","tech.2",175,330,90
1,2008,2.3,1.5,-5.6,35,"yes",4,4,4,"tech.1","tech.4","tech.2",100,330,20
4,2008,7.1,7.3,-5.6,35,"yes",3,4,5,"tech.2","tech.3","tech.2",225,155,255
6,2008,22.8,4.5,-5.6,35,"yes",1,2,1,"tech.2","tech.4","tech.4",360,50,315
8,2008,9.3,3.5,-5.6,35,"yes",3,4,6,"tech.3","tech.3","tech.4",25,190,230
10,2008,5,2.4,-5.6,35,"yes",2,2,4,"tech.4","tech.3","tech.2",275,335,80
11,2008,2.6,2.9,-5.6,35,"yes",3,2,2,"tech.1","tech.1","tech.2",235,180,295
12,2008,13.1,13.5,-5.6,35,"yes",3,6,3,"tech.3","tech.4","tech.3",85,240,30
13,2008,13.5,12.1,-5.6,35,"yes",3,8,3,"tech.3","tech.4","tech.1",60,20,330
14,2008,9.3,13.5,-5.6,35,"yes",6,4,2,"tech.1","tech.3","tech.2",100,255,30
17,2008,10.2,4.2,-5.6,35,"yes",7,1,5,"tech.4","tech.1","tech.1",130,15,95
19,2008,4,3.5,-5.6,35,"yes",3,4,2,"tech.2","tech.1","tech.3",60,180,135
20,2008,4,0.3,-5.6,35,"yes",2,0,1,"tech.2","tech.4","tech.1",350,165,40
21,2008,9.9,3.5,-5.6,35,"yes",6,8,7,"tech.4","tech.1","tech.4",70,250,5
22,2008,9.4,0.6,-5.6,35,"yes",2,8,8,"tech.1","tech.3","tech.2",60,195,250
26,2008,7.1,0.2,-5.6,35,"yes",3,2,3,"tech.2","tech.1","tech.3",320,235,60
30,2008,6.7,1.1,-5.6,35,"yes",6,5,5,"tech.4","tech.2","tech.3",105,160,50
35,2008,24.8,4.1,-5.6,35,"yes",5,7,5,"tech.2","tech.3","tech.1",5,290,120
37,2008,5.8,0.3,-5.6,35,"yes",4,3,6,"tech.4","tech.2","tech.1",295,280,110
38,2008,0.4,0,-5.6,35,"yes",0,5,4,"tech.2","tech.1","tech.3",270,305,105
39,2008,2.9,0,-5.6,35,"yes",2,3,4,"tech.3","tech.2","tech.2",140,295,145
44,2008,9.9,8,-5.6,35,"yes",1,3,1,"tech.3","tech.2","tech.1",230,155,290
45,2008,3.2,1.8,-5.6,35,"yes",2,2,2,"tech.3","tech.3","tech.3",80,340,310
46,2008,3.5,0.6,-5.6,35,"yes",8,7,5,"tech.2","tech.2","tech.4",95,170,245
49,2008,10.4,12.5,-5.6,35,"yes",6,3,4,"tech.2","tech.4","tech.2",60,310,325
50,2008,13.7,2.7,-5.6,35,"yes",6,1,3,"tech.1","tech.1","tech.1",215,355,5
52,2008,7.1,1.5,-5.6,35,"yes",3,5,5,"tech.1","tech.3","tech.4",300,70,115
55,2008,11.8,0,-5.6,35,"yes",4,3,3,"tech.2","tech.4","tech.2",55,45,170
56,2008,2.9,0,-5.6,35,"yes",4,2,1,"tech.3","tech.1","tech.2",290,325,5
58,2008,14.5,4.4,-5.6,35,"yes",4,3,2,"tech.4","tech.3","tech.1",120,60,45
60,2008,3.3,2,-5.6,35,"yes",3,6,5,"tech.4","tech.2","tech.1",10,260,100
62,2008,17.3,1,-5.6,35,"yes",3,2,1,"tech.1","tech.3","tech.3",15,25,340
65,2008,0.5,0.2,-5.6,35,"yes",2,4,2,"tech.3","tech.4","tech.2",315,255,325
68,2008,12.2,5.8,-5.6,35,"yes",4,5,6,"tech.2","tech.4","tech.2",250,220,5
69,2008,9.5,3.7,-5.6,35,"yes",3,0,2,"tech.2","tech.3","tech.1",120,60,65
71,2008,6.9,3.5,-5.6,35,"yes",4,1,6,"tech.3","tech.1","tech.4",260,35,220
75,2008,11.9,9.3,-5.6,35,"yes",4,4,5,"tech.1","tech.1","tech.2",20,15,130
76,2008,13.9,3.3,-5.6,35,"yes",4,3,4,"tech.2","tech.1","tech.4",110,30,120
79,2008,11.7,16.5,-5.6,35,"yes",4,5,5,"tech.3","tech.4","tech.4",185,225,30
83,2008,14.2,2.1,-5.6,35,"yes",3,1,2,"tech.3","tech.2","tech.2",170,115,140
84,2008,2.5,9,-5.6,35,"yes",7,5,0,"tech.1","tech.3","tech.2",175,95,345
86,2008,3,2.1,-5.6,35,"yes",0,2,3,"tech.1","tech.2","tech.2",340,315,55
88,2008,13.3,6,-5.6,35,"yes",0,2,0,"tech.1","tech.2","tech.3",20,75,175
91,2008,5.7,0.8,-5.6,35,"yes",3,2,5,"tech.2","tech.4","tech.3",65,0,175
92,2008,11.9,9,-5.6,35,"yes",3,1,3,"tech.2","tech.4","tech.3",95,325,130
93,2008,8.2,3.5,-5.6,35,"yes",5,2,5,"tech.4","tech.2","tech.4",260,355,100
94,2008,3.7,2.4,-5.6,35,"yes",3,5,5,"tech.1","tech.1","tech.1",5,135,275
95,2008,12.5,9.8,-5.6,35,"yes",4,1,5,"tech.4","tech.4","tech.3",295,310,360
97,2008,11.2,13,-5.6,35,"yes",2,2,2,"tech.4","tech.1","tech.2",55,120,15
98,2008,9.8,6.4,-5.6,35,"yes",2,2,3,"tech.3","tech.4","tech.4",340,260,35
100,2008,15.6,9.4,-5.6,35,"yes",5,5,1,"tech.4","tech.4","tech.4",295,160,230
1,2009,10.7,1,-6.7,36.7,"yes",3,1,1,"tech.2","tech.2","tech.3",15,360,20
4,2009,14.4,6.4,-6.7,36.7,"yes",4,4,5,"tech.1","tech.3","tech.1",60,215,165
6,2009,21.3,4.6,-6.7,36.7,"yes",4,4,4,"tech.4","tech.3","tech.3",140,90,255
8,2009,5.4,2.8,-6.7,36.7,"yes",2,3,2,"tech.1","tech.4","tech.3",170,70,330
10,2009,6.1,2.7,-6.7,36.7,"yes",0,3,2,"tech.2","tech.1","tech.4",360,40,305
11,2009,3.2,3.5,-6.7,36.7,"yes",0,2,2,"tech.1","tech.3","tech.1",15,145,205
12,2009,12.4,14.2,-6.7,36.7,"yes",6,2,5,"tech.1","tech.4","tech.2",125,170,20
13,2009,6.4,17,-6.7,36.7,"yes",1,6,5,"tech.3","tech.3","tech.1",340,105,180
14,2009,8.9,12.5,-6.7,36.7,"yes",6,3,3,"tech.1","tech.2","tech.1",175,225,0
17,2009,9.4,4.1,-6.7,36.7,"yes",2,2,3,"tech.4","tech.1","tech.3",185,170,135
19,2009,13.1,4.7,-6.7,36.7,"yes",2,0,0,"tech.1","tech.3","tech.3",180,240,5
20,2009,6.7,0.4,-6.7,36.7,"yes",1,2,1,"tech.2","tech.4","tech.1",165,235,280
21,2009,10.2,5.6,-6.7,36.7,"yes",3,7,5,"tech.1","tech.4","tech.3",250,0,240
22,2009,9,0.6,-6.7,36.7,"yes",6,7,1,"tech.4","tech.1","tech.1",125,290,285
26,2009,11.4,3.7,-6.7,36.7,"yes",4,6,4,"tech.2","tech.1","tech.4",130,135,70
30,2009,4,1,-6.7,36.7,"yes",5,6,1,"tech.3","tech.4","tech.3",160,295,10
35,2009,20.6,3.3,-6.7,36.7,"yes",3,5,7,"tech.2","tech.2","tech.4",100,135,135
37,2009,2.1,0.2,-6.7,36.7,"yes",4,3,4,"tech.2","tech.3","tech.4",125,35,80
38,2009,9.9,0.1,-6.7,36.7,"yes",5,5,2,"tech.3","tech.2","tech.1",320,325,210
39,2009,6.8,0,-6.7,36.7,"yes",5,2,1,"tech.2","tech.1","tech.3",105,310,290
44,2009,9.6,8.5,-6.7,36.7,"yes",3,0,2,"tech.3","tech.3","tech.2",195,5,340
45,2009,5.9,3.3,-6.7,36.7,"yes",0,2,3,"tech.3","tech.4","tech.3",360,150,185
46,2009,8.3,2,-6.7,36.7,"yes",4,4,4,"tech.2","tech.3","tech.1",20,255,45
49,2009,9,11.1,-6.7,36.7,"yes",5,7,2,"tech.2","tech.4","tech.2",80,205,340
50,2009,14.4,3.8,-6.7,36.7,"yes",9,10,7,"tech.3","tech.2","tech.4",115,195,195
52,2009,7.8,1.4,-6.7,36.7,"yes",4,7,4,"tech.4","tech.3","tech.3",310,40,115
55,2009,5.4,0.2,-6.7,36.7,"yes",1,4,3,"tech.4","tech.2","tech.2",65,95,130
56,2009,15.3,1.5,-6.7,36.7,"yes",1,1,2,"tech.2","tech.3","tech.1",210,95,15
58,2009,15.1,3.9,-6.7,36.7,"yes",3,3,0,"tech.2","tech.3","tech.3",125,360,360
60,2009,5.7,3,-6.7,36.7,"yes",3,3,4,"tech.3","tech.4","tech.1",160,230,75
62,2009,16.4,3.7,-6.7,36.7,"yes",0,5,4,"tech.3","tech.2","tech.1",345,230,40
65,2009,12.4,3.4,-6.7,36.7,"yes",4,7,6,"tech.1","tech.3","tech.4",15,165,95
68,2009,11.7,5.2,-6.7,36.7,"yes",5,8,5,"tech.3","tech.2","tech.2",140,70,20
69,2009,11.1,4.8,-6.7,36.7,"yes",2,0,2,"tech.2","tech.4","tech.1",40,135,85
71,2009,5.1,4,-6.7,36.7,"yes",6,5,2,"tech.1","tech.3","tech.1",165,30,300
75,2009,9.9,8.3,-6.7,36.7,"yes",6,3,5,"tech.4","tech.3","tech.2",170,355,285
76,2009,11.6,5.3,-6.7,36.7,"yes",2,3,4,"tech.4","tech.1","tech.2",350,80,235
79,2009,8.4,19.3,-6.7,36.7,"yes",7,7,3,"tech.1","tech.1","tech.3",230,155,5
83,2009,24.8,3.8,-6.7,36.7,"yes",2,2,1,"tech.2","tech.3","tech.1",40,360,345
84,2009,3.3,8.8,-6.7,36.7,"yes",4,3,2,"tech.4","tech.3","tech.2",270,260,310
86,2009,4.6,2.6,-6.7,36.7,"yes",2,3,4,"tech.2","tech.2","tech.3",240,335,140
88,2009,15.6,6.4,-6.7,36.7,"yes",0,0,0,"tech.1","tech.4","tech.3",160,320,50
91,2009,6.7,2.9,-6.7,36.7,"yes",2,5,3,"tech.4","tech.1","tech.2",285,285,30
92,2009,14.8,7.2,-6.7,36.7,"yes",1,1,2,"tech.3","tech.4","tech.2",75,350,245
93,2009,7.9,6,-6.7,36.7,"yes",4,2,3,"tech.1","tech.1","tech.3",80,220,355
94,2009,3.7,2.9,-6.7,36.7,"yes",3,4,2,"tech.3","tech.3","tech.2",185,310,350
95,2009,15,9.3,-6.7,36.7,"yes",4,2,5,"tech.3","tech.3","tech.2",270,345,110
97,2009,10.5,13.7,-6.7,36.7,"yes",2,0,1,"tech.4","tech.3","tech.3",190,300,190
98,2009,11.4,7.5,-6.7,36.7,"yes",1,3,3,"tech.3","tech.2","tech.1",330,270,340
100,2009,17.6,8.3,-6.7,36.7,"yes",4,5,2,"tech.4","tech.1","tech.3",270,150,5
1,2010,16.3,1.2,-4.4,28.3,"yes",5,6,2,"tech.1","tech.1","tech.4",250,90,340
4,2010,12.3,5.4,-4.4,28.3,"yes",4,8,6,"tech.3","tech.2","tech.3",45,275,315
6,2010,23.7,4.1,-4.4,28.3,"yes",3,7,4,"tech.4","tech.4","tech.3",35,135,320
8,2010,11.2,3.6,-4.4,28.3,"yes",3,3,5,"tech.2","tech.2","tech.4",305,75,265
10,2010,6.6,2.6,-4.4,28.3,"yes",6,5,4,"tech.3","tech.4","tech.1",125,215,220
11,2010,3.3,4.1,-4.4,28.3,"yes",10,4,12,"tech.2","tech.2","tech.1",70,315,235
12,2010,12.6,14.6,-4.4,28.3,"yes",7,6,6,"tech.1","tech.1","tech.2",230,300,345
13,2010,10.9,15.5,-4.4,28.3,"yes",5,2,4,"tech.1","tech.1","tech.4",70,20,5
14,2010,9.5,11.7,-4.4,28.3,"yes",8,11,6,"tech.2","tech.1","tech.2",295,95,360
17,2010,12.3,4,-4.4,28.3,"yes",8,6,8,"tech.4","tech.4","tech.1",95,295,30
19,2010,9.5,3.9,-4.4,28.3,"yes",2,3,3,"tech.4","tech.4","tech.2",315,90,0
20,2010,10.9,0.7,-4.4,28.3,"yes",3,5,2,"tech.4","tech.4","tech.3",270,255,115
21,2010,9.3,5.2,-4.4,28.3,"yes",10,7,4,"tech.4","tech.2","tech.3",85,215,15
22,2010,15.9,2,-4.4,28.3,"yes",11,6,9,"tech.1","tech.1","tech.1",75,215,145
26,2010,12.4,4.2,-4.4,28.3,"yes",8,8,7,"tech.3","tech.4","tech.1",115,280,310
30,2010,8.5,1.2,-4.4,28.3,"yes",4,4,1,"tech.4","tech.1","tech.3",45,110,10
35,2010,23.3,2.3,-4.4,28.3,"yes",4,7,7,"tech.1","tech.4","tech.3",320,35,90
37,2010,14.1,0,-4.4,28.3,"yes",3,2,4,"tech.4","tech.1","tech.1",50,340,205
38,2010,12.6,0.1,-4.4,28.3,"yes",1,5,5,"tech.3","tech.4","tech.2",350,25,60
39,2010,12.3,0,-4.4,28.3,"yes",1,5,2,"tech.3","tech.2","tech.4",60,150,335
44,2010,10.2,8.7,-4.4,28.3,"yes",2,5,4,"tech.4","tech.3","tech.4",100,260,275
45,2010,5.6,3,-4.4,28.3,"yes",4,4,7,"tech.3","tech.3","tech.3",350,335,320
46,2010,8,2.5,-4.4,28.3,"yes",7,6,9,"tech.3","tech.1","tech.1",205,5,145
49,2010,15.1,19.3,-4.4,28.3,"yes",8,16,14,"tech.1","tech.2","tech.3",350,210,230
50,2010,17,3.9,-4.4,28.3,"yes",9,5,8,"tech.4","tech.2","tech.3",170,90,265
52,2010,13.9,4.3,-4.4,28.3,"yes",4,4,2,"tech.3","tech.3","tech.1",225,95,35
55,2010,22.5,0.2,-4.4,28.3,"yes",1,4,4,"tech.4","tech.2","tech.2",335,170,65
56,2010,24,1.5,-4.4,28.3,"yes",5,1,2,"tech.4","tech.1","tech.2",230,335,285
58,2010,13.1,5.4,-4.4,28.3,"yes",3,4,4,"tech.4","tech.1","tech.3",310,360,290
60,2010,10.5,3.6,-4.4,28.3,"yes",8,5,7,"tech.2","tech.3","tech.3",90,180,285
62,2010,13.6,2.8,-4.4,28.3,"yes",4,7,6,"tech.4","tech.3","tech.3",310,170,285
65,2010,15.5,2.1,-4.4,28.3,"yes",10,8,9,"tech.1","tech.4","tech.4",115,215,130
68,2010,15.4,6.6,-4.4,28.3,"yes",5,4,10,"tech.3","tech.4","tech.4",135,310,135
69,2010,17.6,12.2,-4.4,28.3,"yes",6,11,11,"tech.4","tech.1","tech.3",140,110,215
71,2010,8.5,7.7,-4.4,28.3,"yes",7,8,8,"tech.1","tech.1","tech.2",65,70,280
75,2010,12,9.8,-4.4,28.3,"yes",19,10,12,"tech.4","tech.2","tech.2",115,335,45
76,2010,10.4,5.2,-4.4,28.3,"yes",5,9,8,"tech.3","tech.4","tech.2",75,155,10
79,2010,12.2,18.2,-4.4,28.3,"yes",6,8,13,"tech.2","tech.4","tech.2",360,345,100
83,2010,15.6,2.9,-4.4,28.3,"yes",7,6,4,"tech.1","tech.1","tech.4",155,95,345
84,2010,3.4,8.9,-4.4,28.3,"yes",10,9,11,"tech.3","tech.3","tech.4",35,35,40
86,2010,6,2.3,-4.4,28.3,"yes",4,7,1,"tech.2","tech.2","tech.1",15,220,355
88,2010,17.4,7.3,-4.4,28.3,"yes",6,11,2,"tech.4","tech.4","tech.4",185,100,345
91,2010,7.4,3.2,-4.4,28.3,"yes",6,4,3,"tech.4","tech.3","tech.3",215,310,225
92,2010,15.2,7.1,-4.4,28.3,"yes",7,5,5,"tech.1","tech.2","tech.2",130,195,115
93,2010,8.8,6.4,-4.4,28.3,"yes",4,9,8,"tech.2","tech.3","tech.2",205,210,215
94,2010,3.3,2.6,-4.4,28.3,"yes",5,2,3,"tech.4","tech.4","tech.4",185,260,240
95,2010,19.4,7.4,-4.4,28.3,"yes",5,3,5,"tech.4","tech.4","tech.1",120,250,145
97,2010,8.2,14,-4.4,28.3,"yes",2,9,7,"tech.2","tech.4","tech.4",330,170,155
98,2010,16.3,7.5,-4.4,28.3,"yes",1,7,6,"tech.2","tech.1","tech.2",315,210,220
100,2010,20.6,7.4,-4.4,28.3,"yes",11,6,7,"tech.2","tech.4","tech.1",120,25,80
1,2011,11.7,5.3,-11.7,26.1,"yes",3,5,9,"tech.1","tech.1","tech.1",345,310,255
4,2011,17.5,4.4,-11.7,26.1,"yes",4,2,7,"tech.3","tech.1","tech.1",210,320,160
6,2011,24.7,3.9,-11.7,26.1,"yes",2,6,5,"tech.2","tech.3","tech.2",355,85,290
8,2011,11.5,4.9,-11.7,26.1,"yes",7,8,4,"tech.1","tech.1","tech.4",175,175,280
10,2011,7.3,2.3,-11.7,26.1,"yes",8,7,2,"tech.3","tech.1","tech.4",160,215,0
11,2011,1.6,5.1,-11.7,26.1,"yes",4,9,5,"tech.2","tech.4","tech.4",55,185,305
12,2011,13,14.5,-11.7,26.1,"yes",9,7,10,"tech.4","tech.4","tech.2",230,325,305
13,2011,16.1,14.6,-11.7,26.1,"yes",14,16,10,"tech.4","tech.4","tech.2",115,230,295
14,2011,16,10.9,-11.7,26.1,"yes",8,7,15,"tech.3","tech.4","tech.3",165,345,160
17,2011,12.6,5,-11.7,26.1,"yes",5,10,7,"tech.1","tech.4","tech.4",255,255,125
19,2011,17,3.6,-11.7,26.1,"yes",4,3,3,"tech.1","tech.1","tech.2",315,335,310
20,2011,13.9,1.2,-11.7,26.1,"yes",6,1,4,"tech.3","tech.2","tech.1",120,340,85
21,2011,8.1,5.4,-11.7,26.1,"yes",9,12,11,"tech.4","tech.1","tech.2",130,180,230
22,2011,1.2,0,-11.7,26.1,"yes",9,6,6,"tech.1","tech.3","tech.4",170,45,140
26,2011,12.8,4.3,-11.7,26.1,"yes",11,7,14,"tech.3","tech.4","tech.1",95,280,85
30,2011,10,1.3,-11.7,26.1,"yes",7,3,3,"tech.2","tech.3","tech.1",60,5,310
35,2011,26.6,1.6,-11.7,26.1,"yes",5,6,7,"tech.3","tech.2","tech.3",305,305,210
37,2011,16.1,0.1,-11.7,26.1,"yes",5,3,3,"tech.2","tech.4","tech.2",190,95,330
38,2011,11.3,0.5,-11.7,26.1,"yes",2,2,1,"tech.3","tech.2","tech.3",300,295,55
39,2011,12.8,1.6,-11.7,26.1,"yes",8,8,9,"tech.4","tech.2","tech.1",95,210,240
44,2011,13.2,8.7,-11.7,26.1,"yes",7,3,8,"tech.3","tech.1","tech.3",275,30,275
45,2011,6.7,3.3,-11.7,26.1,"yes",7,6,7,"tech.2","tech.4","tech.3",260,275,30
46,2011,9.1,2.3,-11.7,26.1,"yes",7,7,7,"tech.2","tech.2","tech.1",160,45,295
49,2011,18.1,18.1,-11.7,26.1,"yes",12,13,11,"tech.1","tech.4","tech.4",310,170,55
50,2011,17.9,4.9,-11.7,26.1,"yes",6,5,7,"tech.2","tech.1","tech.4",145,25,15
52,2011,13.7,4.2,-11.7,26.1,"yes",5,5,2,"tech.1","tech.4","tech.2",50,165,175
55,2011,22,0.2,-11.7,26.1,"yes",4,2,3,"tech.1","tech.4","tech.1",360,335,10
56,2011,18,2.8,-11.7,26.1,"yes",4,1,5,"tech.1","tech.4","tech.3",70,85,215
58,2011,15.6,4.9,-11.7,26.1,"yes",9,8,8,"tech.4","tech.4","tech.4",35,25,105
60,2011,10.6,4.2,-11.7,26.1,"yes",9,4,5,"tech.2","tech.2","tech.3",205,305,275
62,2011,17.5,0.9,-11.7,26.1,"yes",9,7,10,"tech.2","tech.2","tech.4",85,215,270
65,2011,16.9,2.7,-11.7,26.1,"yes",6,6,6,"tech.4","tech.4","tech.4",290,5,15
68,2011,15.9,6,-11.7,26.1,"yes",5,7,7,"tech.3","tech.2","tech.3",110,45,20
69,2011,17.3,15.7,-11.7,26.1,"yes",13,13,10,"tech.3","tech.3","tech.3",225,205,55
71,2011,9.8,9,-11.7,26.1,"yes",6,9,10,"tech.2","tech.1","tech.3",275,165,140
75,2011,12.1,10.7,-11.7,26.1,"yes",11,16,15,"tech.3","tech.1","tech.3",0,210,130
76,2011,13.7,3.6,-11.7,26.1,"yes",9,6,5,"tech.2","tech.2","tech.2",210,160,0
79,2011,8.4,10.7,-11.7,26.1,"yes",13,14,11,"tech.4","tech.1","tech.2",65,140,10
83,2011,22.8,1.8,-11.7,26.1,"yes",7,1,3,"tech.3","tech.4","tech.4",180,355,10
84,2011,5.8,9,-11.7,26.1,"yes",9,9,7,"tech.2","tech.1","tech.4",80,55,170
86,2011,2.9,2.6,-11.7,26.1,"yes",8,3,6,"tech.4","tech.2","tech.3",75,15,15
88,2011,18.3,6.3,-11.7,26.1,"yes",10,8,10,"tech.4","tech.2","tech.4",205,220,265
91,2011,10.9,3,-11.7,26.1,"yes",4,3,3,"tech.2","tech.1","tech.4",75,340,15
92,2011,19.5,5,-11.7,26.1,"yes",4,3,4,"tech.4","tech.4","tech.4",170,70,55
93,2011,9.5,6.5,-11.7,26.1,"yes",11,11,5,"tech.1","tech.2","tech.3",160,65,55
94,2011,4.7,2.7,-11.7,26.1,"yes",4,2,4,"tech.4","tech.4","tech.1",90,95,105
95,2011,16.1,5,-11.7,26.1,"yes",4,4,7,"tech.1","tech.1","tech.4",65,10,190
97,2011,10.3,13.5,-11.7,26.1,"yes",14,6,10,"tech.3","tech.2","tech.2",245,290,165
98,2011,12.3,6.2,-11.7,26.1,"yes",4,8,3,"tech.4","tech.2","tech.1",330,150,355
100,2011,29.8,6.4,-11.7,26.1,"yes",8,4,7,"tech.4","tech.2","tech.1",90,290,195
1,2012,11.25,4.1,-4.4,33.9,"yes",5,8,5,"tech.3","tech.1","tech.2",0,85,95
4,2012,14,3.1,-4.4,33.9,"yes",4,3,4,"tech.4","tech.3","tech.4",0,345,40
6,2012,27.45,3.2,-4.4,33.9,"yes",5,7,6,"tech.4","tech.4","tech.3",135,100,25
8,2012,9.55,4.35,-4.4,33.9,"yes",4,4,6,"tech.1","tech.1","tech.3",145,90,240
10,2012,6.95,2.35,-4.4,33.9,"yes",7,7,6,"tech.3","tech.1","tech.1",200,285,230
11,2012,1.65,5.15,-4.4,33.9,"yes",13,6,7,"tech.1","tech.4","tech.4",155,135,275
12,2012,13.2,14.25,-4.4,33.9,"yes",1,11,4,"tech.1","tech.2","tech.1",335,75,325
13,2012,14.45,14.95,-4.4,33.9,"yes",8,14,18,"tech.4","tech.3","tech.3",290,205,85
14,2012,14.35,10.15,-4.4,33.9,"yes",9,20,12,"tech.2","tech.4","tech.4",15,135,260
17,2012,11.55,5.2,-4.4,33.9,"yes",5,4,6,"tech.3","tech.2","tech.1",215,65,70
